Cities,Latitude,Longitude,Cloudiness,Date,Humidity,Max_Temp,Wind Speed
lasa,46.62,10.7,5,1600027170,82,62.6,2.24
shenzhen,22.55,114.07,16,1600027170,97,82.99,7.56
miles city,46.41,-105.84,1,1600027170,39,64.4,8.05
hilo,19.73,-155.09,1,1600027171,58,82.4,4.7
jamestown,42.1,-79.24,75,1600027171,77,73.0,13.87
uyo,5.03,7.93,100,1600027172,94,74.08,5.82
moose factory,51.26,-80.61,75,1600027172,66,51.8,20.8
katsuura,35.13,140.3,75,1600027173,100,73.99,12.75
griffith,41.53,-87.42,40,1600027173,68,77.0,9.17
ilulissat,69.22,-51.1,5,1600027173,42,30.2,5.82
mehamn,71.04,27.85,75,1600027173,93,46.4,2.24
coquimbo,-29.95,-71.34,0,1600027102,67,60.8,12.75
vostok,46.49,135.88,100,1600027174,69,41.0,3.02
zhangjiakou,40.81,114.88,21,1600027174,78,58.15,5.19
berlevag,70.86,29.09,75,1600027174,93,48.2,4.7
victoria,22.29,114.16,52,1600027075,88,82.99,8.99
talaya,61.38,152.75,4,1600027174,80,36.93,4.72
ayan,56.45,138.17,0,1600027175,83,56.77,1.9
saint-leu,-21.15,55.28,40,1600027175,68,68.0,3.36
tual,-5.67,132.75,96,1600027175,80,78.33,21.85
kutum,14.2,24.67,2,1600027175,72,72.01,11.45
bengkulu,-3.8,102.27,47,1600027176,90,75.07,4.83
cayenne,4.93,-52.33,0,1600027176,58,87.8,12.75
samarai,-10.62,150.67,87,1600027176,81,76.44,7.78
gerede,40.8,32.2,86,1600027176,100,56.95,1.23
mareeba,-17.0,145.43,55,1600027176,88,66.99,1.01
luderitz,-26.65,15.16,0,1600027177,65,57.07,23.51
rock springs,41.59,-109.2,1,1600026976,19,71.6,3.36
ouango,4.31,22.56,96,1600027177,91,72.07,0.45
santa cruz,-17.8,-63.17,20,1600026924,44,93.2,20.8
souillac,-20.52,57.52,75,1600027177,88,69.8,11.41
itoman,26.12,127.67,75,1600027178,88,80.6,4.7
vila franca do campo,37.72,-25.43,20,1600027178,78,71.6,11.41
nampula,-15.12,39.27,0,1600027178,69,73.4,8.05
cape town,-33.93,18.42,75,1600027178,87,55.99,17.22
santa marta,11.24,-74.2,75,1600027178,74,86.0,4.7
kindersley,51.47,-109.17,90,1600027179,44,57.2,18.34
kismayo,-0.36,42.55,70,1600027179,79,78.8,14.79
florianopolis,-27.61,-48.5,17,1600027179,65,80.6,12.75
lagoa,39.05,-27.98,91,1600027179,82,72.57,21.36
college,64.86,-147.8,20,1600027066,65,48.0,3.36
mountain home,43.13,-115.69,75,1600027180,13,82.4,16.11
qaanaaq,77.48,-69.36,3,1600027180,81,23.32,7.65
hofn,64.25,-15.21,100,1600027180,77,44.83,8.81
sorland,67.67,12.69,75,1600027180,93,46.4,5.82
karwar,14.8,74.13,100,1600026906,86,77.09,2.59
maracacume,-2.04,-45.96,97,1600027181,78,80.06,4.56
tufesti,45.05,27.82,40,1600027181,36,78.8,6.93
jiazi,22.88,116.07,83,1600027181,89,78.42,11.14
veraval,20.9,70.37,100,1600027181,86,81.09,10.67
zhigansk,66.77,123.37,100,1600027182,89,45.12,15.14
sao joao da barra,-21.64,-41.05,0,1600027183,57,80.6,23.04
sioux lookout,50.1,-91.92,75,1600027166,81,51.8,9.17
vanimo,-2.67,141.3,70,1600027183,87,78.37,7.54
daru,-9.08,143.21,69,1600027183,78,75.2,11.45
maceio,-9.67,-35.74,40,1600027184,65,78.8,12.75
vogar,63.98,-22.39,90,1600027184,93,46.4,12.75
chernyshevskiy,63.01,112.47,99,1600027184,78,45.3,2.3
salalah,17.02,54.09,75,1600027067,88,80.6,5.82
solnechnyy,50.72,136.63,97,1600027184,81,55.04,1.16
lorengau,-2.02,147.27,100,1600027185,81,81.93,11.65
rock sound,24.9,-76.2,50,1600026940,70,83.32,8.12
estrela,-28.06,-50.94,0,1600027185,57,78.8,5.06
yulara,-25.24,130.99,0,1600027185,48,64.4,11.41
tagusao,9.19,117.81,51,1600027185,80,80.51,3.69
bethel,41.37,-73.41,90,1600027186,68,73.0,8.05
seoul,37.57,126.98,1,1600027160,93,64.4,2.98
albany,42.6,-73.97,47,1600027179,67,73.0,9.26
kenai,60.55,-151.26,20,1600027186,76,55.0,6.93
uromi,6.7,6.33,97,1600027187,100,70.21,5.75
thunder bay,48.4,-89.32,75,1600026990,51,63.0,10.29
adeje,28.12,-16.73,75,1600027187,78,75.99,2.24
ribeira grande,38.52,-28.7,20,1600027187,83,73.4,13.87
ojinaga,29.57,-104.42,40,1600027187,61,78.8,6.89
tuburan,6.64,122.27,99,1600027188,77,81.52,7.47
huarmey,-10.07,-78.15,27,1600027188,68,66.96,11.1
winterberg,51.2,8.53,36,1600027188,72,62.6,3.36
port lincoln,-34.73,135.87,3,1600027188,89,52.61,5.08
te anau,-45.42,167.72,95,1600027189,89,50.7,5.64
zeya,53.75,127.27,100,1600027189,86,55.76,1.72
kabalo,-6.05,26.92,62,1600027189,35,83.8,1.99
botou,38.07,116.57,100,1600027189,88,64.53,3.87
aswan,24.09,32.91,0,1600027189,16,93.43,15.93
bell ville,-32.63,-62.69,0,1600027190,18,72.0,8.01
lima,-12.04,-77.03,90,1600026964,77,64.4,5.82
vao,-22.67,167.48,97,1600027190,80,69.51,19.33
shingu,33.73,135.98,0,1600027190,83,69.53,5.35
limenaria,40.63,24.58,20,1600027191,73,79.0,6.93
orotukan,62.27,151.7,0,1600027191,85,35.55,2.82
butaritari,3.07,172.79,1,1600027191,75,82.65,14.54
sulangan,11.14,123.72,68,1600027191,75,83.98,7.92
jawar,23.0,76.5,100,1600027191,88,76.32,4.74
chokwe,-24.53,32.98,0,1600027192,66,72.57,11.72
victoria point,-27.58,153.3,5,1600027192,83,57.0,4.88
walla walla,46.06,-118.34,90,1600027105,23,73.4,4.7
